fipscode,county,state,dem_votes,rep_votes,other_votes
01001,Autauga,Alabama,3646,9449,27
01003,Baldwin,Alabama,8452,37783,64
01005,Barbour,Alabama,3657,3114,3
01007,Bibb,Alabama,1368,3525,7
01009,Blount,Alabama,2179,12081,27
01011,Bullock,Alabama,2444,747,2
01013,Butler,Alabama,2750,3155,7
01015,Calhoun,Alabama,9095,17702,32
01017,Chambers,Alabama,3640,4605,6
01019,Cherokee,Alabama,1869,5010,4
01021,Chilton,Alabama,2424,9036,16
01023,Choctaw,Alabama,1949,2381,2
01025,Clarke,Alabama,3530,5000,0
01027,Clay,Alabama,1223,3214,3
01029,Cleburne,Alabama,717,3129,4
01031,Coffee,Alabama,2405,8555,10
01033,Colbert,Alabama,6119,9551,41
01035,Conecuh,Alabama,2344,2373,2
01037,Coosa,Alabama,1579,2260,2
01039,Covington,Alabama,1777,6155,5
01041,Crenshaw,Alabama,1767,2956,6
01043,Cullman,Alabama,3698,16606,33
01045,Dale,Alabama,2794,8171,5
01047,Dallas,Alabama,8456,4116,18
01049,DeKalb,Alabama,3682,12593,26
01051,Elmore,Alabama,5561,15215,39
01053,Escambia,Alabama,3032,6013,9
01055,Etowah,Alabama,8909,17539,23
01057,Fayette,Alabama,1966,4849,9
01059,Franklin,Alabama,2617,4950,12
01061,Geneva,Alabama,1219,6119,5
01063,Greene,Alabama,2857,538,0
01065,Hale,Alabama,3168,2002,2
01067,Henry,Alabama,1780,3333,3
01069,Houston,Alabama,6257,17302,31
01071,Jackson,Alabama,3234,8258,34
01073,Jefferson,Alabama,82865,83147,259
01075,Lamar,Alabama,1249,3157,2
01077,Lauderdale,Alabama,7431,15782,89
01079,Lawrence,Alabama,3300,5867,25
01081,Lee,Alabama,10139,16315,49
01083,Limestone,Alabama,5379,17581,67
01085,Lowndes,Alabama,3127,1174,6
01087,Macon,Alabama,4830,829,3
01089,Madison,Alabama,26097,60277,720
01091,Marengo,Alabama,3762,3152,4
01093,Marion,Alabama,2099,6061,12
01095,Marshall,Alabama,3345,16523,37
01097,Mobile,Alabama,34835,48651,82
01099,Monroe,Alabama,2580,3500,3
01101,Montgomery,Alabama,33366,23811,125
01103,Morgan,Alabama,6708,22428,76
01105,Perry,Alabama,2633,962,1
01107,Pickens,Alabama,2525,3528,2
01109,Pike,Alabama,3821,5330,13
01111,Randolph,Alabama,1917,4076,11
01113,Russell,Alabama,4758,4440,4
01117,Shelby,Alabama,10324,40297,26
01115,St. Clair,Alabama,3522,15921,95
01119,Sumter,Alabama,3101,1051,4
01121,Talladega,Alabama,7877,11335,19
01123,Tallapoosa,Alabama,4041,8002,10
01125,Tuscaloosa,Alabama,17196,25369,88
01127,Walker,Alabama,4750,12317,30
01129,Washington,Alabama,1742,3263,1
01131,Wilcox,Alabama,2913,1347,4
01133,Winston,Alabama,1391,5353,9
04001,Apache,Arizona,13562,5871,467
04003,Cochise,Arizona,12709,21662,479
04005,Coconino,Arizona,20212,14528,549
04007,Gila,Arizona,5253,9610,207
04009,Graham,Arizona,1919,4985,93
04011,Greenlee,Arizona,792,995,30
04012,La Paz,Arizona,846,2388,55
04013,Maricopa,Arizona,346879,469200,9233
04015,Mohave,Arizona,10662,33150,621
04017,Navajo,Arizona,12128,13569,576
04019,Pima,Arizona,136302,122966,2499
04021,Pinal,Arizona,26131,41313,1063
04023,Santa Cruz,Arizona,5819,3175,91
04025,Yavapai,Arizona,23210,46806,851
04027,Yuma,Arizona,10497,14844,282
05001,Arkansas,Arkansas,2317,2676,103
05003,Ashley,Arkansas,3077,3037,132
05005,Baxter,Arkansas,4681,9693,577
05007,Benton,Arkansas,17122,43535,2284
05009,Boone,Arkansas,3107,7363,512
05011,Bradley,Arkansas,1498,1360,48
05013,Calhoun,Arkansas,740,862,43
05015,Carroll,Arkansas,3095,4635,357
05017,Chicot,Arkansas,2437,1024,42
05019,Clark,Arkansas,4014,2834,123
05021,Clay,Arkansas,1912,1943,162
05023,Cleburne,Arkansas,2797,6670,410
05025,Cleveland,Arkansas,1103,1558,74
05027,Columbia,Arkansas,3541,4306,165
05029,Conway,Arkansas,2822,3366,167
05031,Craighead,Arkansas,10342,14218,797
05033,Crawford,Arkansas,4426,11180,621
05035,Crittenden,Arkansas,5845,4497,279
05037,Cross,Arkansas,2240,2899,127
05039,Dallas,Arkansas,1274,1076,37
05041,Desha,Arkansas,2297,1057,55
05043,Drew,Arkansas,2620,2535,89
05045,Faulkner,Arkansas,12227,20540,1174
05047,Franklin,Arkansas,1859,3488,165
05049,Fulton,Arkansas,1394,1867,122
05051,Garland,Arkansas,12118,17729,1069
05053,Grant,Arkansas,1853,3327,172
05055,Greene,Arkansas,4321,6355,409
05057,Hempstead,Arkansas,2637,2662,97
05059,Hot Spring,Arkansas,4154,4963,316
05061,Howard,Arkansas,1851,1768,60
05063,Independence,Arkansas,3623,6634,392
05065,Izard,Arkansas,1702,2470,183
05067,Jackson,Arkansas,2045,1981,125
05069,Jefferson,Arkansas,13447,6473,258
05071,Johnson,Arkansas,2572,3742,253
05073,Lafayette,Arkansas,1200,1177,41
05075,Lawrence,Arkansas,2079,2340,186
