fipscode,county,state,dem_votes,rep_votes,other_votes
45001,Abbeville,South Carolina,3113,5451,8
23021,Abbot,Massachusetts,106,179,21
23031,Acton,Massachusetts,445,685,78
33019,Acworth,Nebraska,236,212,10
16001,Ada,Idaho,94772,92684,3046
19001,Adair,Hawaii,1167,2213,64
40001,Adair,Oklahoma,1745,3187,241
08001,Adams,Colorado,93449,69465,8321
19003,Adams,Hawaii,549,1160,38
16003,Adams,Idaho,579,1288,39
17001,Adams,Illinois,6176,15898,2284
31001,Adams,Nebraska,3152,7067,
39001,Adams,Ohio,2184,6302,263
42001,Adams,Pennsylvania,15862,22501,690
55001,Adams,Wisconsin,3892,5209,190
23029,Addison,Massachusetts,221,298,26
50001,Addison,Vermont,154,465,22
45003,Aiken,South Carolina,22754,36801,57
27001,Aitkin,Minnesota,3360,4481,303
12001,Alachua,Florida,72711,41278,1205
06001,Alameda,California,462558,111677,
08003,Alamosa,Colorado,3039,2696,305
33003,Albany,Nebraska,181,146,6
50019,Albany,Vermont,140,246,9
56001,Albany,Wyoming,7137,6494,780
23011,Albion,Massachusetts,297,569,68
50013,Alburgh,Vermont,164,511,38
26001,Alcona,Michigan,1982,3408,144
17003,Alexander,Illinois,1154,878,142
23029,Alexander,Massachusetts,74,154,8
33009,Alexandria,Nebraska,266,463,15
40003,Alfalfa,Oklahoma,391,1333,77
23031,Alfred,Massachusetts,719,707,108
26003,Alger,Michigan,1950,2097,112
23003,Allagash,Massachusetts,59,57,5
19005,Allamakee,Hawaii,2165,3326,189
26005,Allegan,Michigan,19497,28648,1708
24001,Allegany,Maryland,3985,19224,321
42003,Allegheny,Pennsylvania,364710,168893,7702
20001,Allen,Kansas,1795,2292,349
39003,Allen,Ohio,10825,24200,941
45005,Allendale,South Carolina,2289,608,1
33013,Allenstown,Nebraska,564,980,27
23015,Alna,Massachusetts,271,167,25
26007,Alpena,Michigan,5595,7031,446
06003,Alpine,California,386,229,
33005,Alstead,Nebraska,469,390,19
23019,Alton,Massachusetts,155,253,23
33001,Alton,Nebraska,745,1932,16
06005,Amador,California,6237,11356,
23009,Amherst,Massachusetts,50,77,9
33011,Amherst,Nebraska,2941,3269,75
23003,Amity,Massachusetts,28,62,2
20003,Anderson,Kansas,957,1596,212
45007,Anderson,South Carolina,19386,43412,95
47001,Anderson,Tennessee,9462,16265,313
48001,Anderson,Texas,2868,11732,151
09013,Andover,Connecticut,618,863,172
23017,Andover,Massachusetts,164,230,37
33013,Andover,Nebraska,545,537,21
50027,Andover,Vermont,89,190,22
48003,Andrews,Texas,687,3400,38
48005,Angelina,Texas,6406,19701,244
24003,Anne Arundel,Maryland,69399,157202,2605
27003,Anoka,Minnesota,76239,75957,7090
23025,Anson,Massachusetts,348,480,54
09009,Ansonia,Connecticut,2603,3160,482
31003,Antelope,Nebraska,440,2103,
26009,Antrim,Michigan,5025,7480,395
33011,Antrim,Nebraska,564,605,23
19007,Appanoose,Hawaii,1834,3101,114
23013,Appleton,Massachusetts,391,314,50
13001,Appling,Georgia,1358,5428,23
48007,Aransas,Texas,1797,7075,108
08005,Arapahoe,Colorado,155056,106833,9251
48009,Archer,Texas,323,3259,28
08007,Archuleta,Colorado,2800,3736,240
26011,Arenac,Michigan,2631,3881,246
05001,Arkansas,Arkansas,1355,3530,77
50003,Arlington,Vermont,451,550,73
42005,Armstrong,Pennsylvania,8839,15373,431
48011,Armstrong,Texas,59,822,14
23003,Aroostook Cty Townships,Massachusetts,13,18,1
23023,Arrowsic,Massachusetts,225,85,13
31005,Arthur,Nebraska,31,196,
23031,Arundel,Massachusetts,894,1007,125
09015,Ashford,Connecticut,925,925,205
23003,Ashland,Massachusetts,151,252,41
33009,Ashland,Nebraska,419,449,16
39005,Ashland,Ohio,5157,12846,714
55003,Ashland,Wisconsin,4168,2584,168
05003,Ashley,Arkansas,1751,4278,126
39007,Ashtabula,Ohio,13668,17184,1382
48013,Atascosa,Texas,3655,8361,158
20005,Atchison,Kansas,2447,2558,467
23025,Athens,Massachusetts,154,205,17
39009,Athens,Ohio,14261,7566,816
50025,Athens,Vermont,60,73,10
13003,Atkinson,Georgia,637,1876,9
23021,Atkinson,Massachusetts,53,119,17
33015,Atkinson,Nebraska,1229,2279,42
40005,Atoka,Oklahoma,1155,2789,95
23001,Auburn,Massachusetts,4578,4235,713
33015,Auburn,Nebraska,861,1966,27
19009,Audubon,Hawaii,990,1658,46
39011,Auglaize,Ohio,3676,14902,582
23011,Augusta,Massachusetts,4018,3098,440
23009,Aurora,Massachusetts,18,36,4
46003,Aurora,South Dakota,607,644,29
48015,Austin,Texas,1897,9009,123
01001,Autauga,Alabama,5734,13994,21
09003,Avon,Connecticut,4136,4714,909
23007,Avon,Massachusetts,69,109,17
08009,Baca,Colorado,331,1454,88
13005,Bacon,Georgia,489,3321,20
48017,Bailey,Texas,348,1241,17
23029,Baileyville,Massachusetts,217,283,24
12003,Baker,Florida,1760,8687,95
13007,Baker,Georgia,535,753,5
41001,Baker,Oregon,1572,6023,669
50011,Bakersfield,Vermont,166,323,27
01003,Baldwin,Alabama,20464,57415,118
13009,Baldwin,Georgia,7793,7735,108
23005,Baldwin,Massachusetts,247,491,36
24005,Baltimore,Maryland,122773,198122,3381
50027,Baltimore,Vermont,25,66,8
24510,Baltimore City,Maryland,123609,58360,2722
45009,Bamberg,South Carolina,2828,1552,2
48019,Bandera,Texas,1602,7866,120
23019,Bangor,Massachusetts,7116,4464,728
13011,Banks,Georgia,645,6150,57
31007,Banner,Nebraska,62,254,
16005,Bannock,Idaho,13386,14975,725
23009,Bar Harbor,Massachusetts,2133,624,147
26013,Baraga,Michigan,1356,1789,92
20007,Barber,Kansas,396,1155,206
01005,Barbour,Alabama,4043,4336,11
23029,Baring Plt.,Massachusetts,41,38,5
09005,Barkhamsted,Connecticut,703,1079,220
50027,Barnard,Vermont,217,284,24
50005,Barnet,Vermont,303,473,25
33001,Barnstead,Nebraska,699,1247,43
45011,Barnwell,South Carolina,3549,3734,6
50023,Barre,Vermont,861,1681,88
50023,Barre Town,Vermont,690,2767,96
33017,Barrington,Nebraska,1904,2331,85
44001,Barrington,Rhode Island,5376,2270,622
55005,Barron,Wisconsin,7623,10655,290
13013,Barrow,Georgia,6900,20162,343
26015,Barry,Michigan,10272,15573,1013
33003,Bartlett,Nebraska,910,775,19
20009,Barton,Kansas,2645,4841,1101
50019,Barton,Vermont,257,605,31
13015,Bartow,Georgia,8524,28425,410
48021,Bastrop,Texas,10407,16351,640
23023,Bath,Massachusetts,2633,1213,272
33009,Bath,Nebraska,206,248,10
05005,Baxter,Arkansas,2978,10694,679
12005,Bay,Florida,16757,45709,865
26017,Bay,Michigan,23159,21847,1525
55007,Bayfield,Wisconsin,5152,3458,187
48023,Baylor,Texas,129,1090,15
09009,Beacon Falls,Connecticut,878,1804,225
46005,Beadle,South Dakota,2832,3182,94
23029,Beals,Massachusetts,82,125,5
16007,Bear Lake,Idaho,307,1780,64
45013,Beaufort,South Carolina,31971,38399,63
40007,Beaver,Oklahoma,272,1454,73
42007,Beaver,Pennsylvania,36166,30593,1117
23021,Beaver Cove,Massachusetts,35,56,4
27005,Becker,Minnesota,5400,8784,543
40009,Beckham,Oklahoma,1396,4061,248
23029,Beddington,Massachusetts,11,21,0
33011,Bedford,Nebraska,4075,6815,77
42009,Bedford,Pennsylvania,4408,14261,194
47003,Bedford,Tennessee,3447,9489,113
48025,Bee,Texas,2261,4827,90
23027,Belfast,Massachusetts,2342,1006,171
23011,Belgrade,Massachusetts,749,889,75
48027,Bell,Texas,33803,51157,1438
23027,Belmont,Massachusetts,209,214,35
33001,Belmont,Nebraska,858,1818,34
39013,Belmont,Ohio,8686,15614,588
