year,fipscode,county,state,dem_twoway_share,dem_votes,rep_votes,other_votes
2010,1001,Autauga,Alabama,0.333351943,5971,11941,0
2010,1003,Baldwin,Alabama,0.222408233,12621,44126,0
2010,1005,Barbour,Alabama,0.613571087,5127,3229,0
2010,1007,Bibb,Alabama,0.31840796,2048,4384,0
2010,1009,Blount,Alabama,0.223467684,3748,13024,0
2010,1011,Bullock,Alabama,0.775436793,3018,874,0
2010,1013,Butler,Alabama,0.526107818,3728,3358,0
2010,1015,Calhoun,Alabama,0.371590035,12559,21239,0
2010,1017,Chambers,Alabama,0.511048924,5296,5067,0
2010,1019,Cherokee,Alabama,0.402023282,2901,4315,0
2010,1021,Chilton,Alabama,0.297426823,4034,9529,0
2010,1023,Choctaw,Alabama,0.555455501,3701,2962,0
2010,1025,Clarke,Alabama,0.497378768,5313,5369,0
2010,1027,Clay,Alabama,0.389129208,2069,3248,0
2010,1029,Cleburne,Alabama,0.285686541,1471,3678,0
2010,1031,Coffee,Alabama,0.371953629,5647,9535,0
2010,1033,Colbert,Alabama,0.452436333,7586,9181,0
2010,1035,Conecuh,Alabama,0.563385604,2982,2311,0
2010,1037,Coosa,Alabama,0.53106576,2342,2068,0
2010,1039,Covington,Alabama,0.355930807,4321,7819,0
2010,1041,Crenshaw,Alabama,0.479357798,2508,2724,0
2010,1043,Cullman,Alabama,0.294237583,8803,21115,0
2010,1045,Dale,Alabama,0.435298321,6092,7903,0
2010,1047,Dallas,Alabama,0.708830092,11118,4567,0
2010,1049,DeKalb,Alabama,0.446997159,9125,11289,0
2010,1051,Elmore,Alabama,0.333447999,8724,17439,0
2010,1053,Escambia,Alabama,0.386746077,4091,6487,0
2010,1055,Etowah,Alabama,0.396914621,12710,19312,0
2010,1057,Fayette,Alabama,0.309778143,1885,4200,0
2010,1059,Franklin,Alabama,0.453782479,3947,4751,0
2010,1061,Geneva,Alabama,0.421210244,4079,5605,0
2010,1063,Greene,Alabama,0.846455784,3666,665,0
2010,1065,Hale,Alabama,0.63148205,4116,2402,0
2010,1067,Henry,Alabama,0.516019489,3495,3278,0
2010,1069,Houston,Alabama,0.4796681,15724,17057,0
2010,1071,Jackson,Alabama,0.441168831,6794,8606,0
2010,1073,Jefferson,Alabama,0.507489526,106959,103802,0
2010,1075,Lamar,Alabama,0.319256415,1580,3369,0
2010,1077,Lauderdale,Alabama,0.388532751,10849,17074,0
2010,1079,Lawrence,Alabama,0.478891479,5547,6036,0
2010,1081,Lee,Alabama,0.412697466,13846,19704,0
2010,1083,Limestone,Alabama,0.331277227,8593,17346,0
2010,1085,Lowndes,Alabama,0.769043152,4099,1231,0
2010,1087,Macon,Alabama,0.878294266,6632,919,0
2010,1089,Madison,Alabama,0.389531063,42090,65963,0
2010,1091,Marengo,Alabama,0.572909624,5084,3790,0
2010,1093,Marion,Alabama,0.33682079,2994,5895,0
2010,1095,Marshall,Alabama,0.292816819,7521,18164,0
2010,1097,Mobile,Alabama,0.438440249,48000,61479,0
2010,1099,Monroe,Alabama,0.454097924,3413,4103,0
2010,1101,Montgomery,Alabama,0.591127441,43439,30046,0
2010,1103,Morgan,Alabama,0.310869843,12169,26976,0
2010,1105,Perry,Alabama,0.74291498,3303,1143,0
2010,1107,Pickens,Alabama,0.436983746,3280,4226,0
2010,1109,Pike,Alabama,0.483687797,4685,5001,0
2010,1111,Randolph,Alabama,0.389414507,2840,4453,0
2010,1113,Russell,Alabama,0.571303969,6550,4915,0
2010,1117,Shelby,Alabama,0.216450837,13589,49192,0
2010,1115,St. Clair,Alabama,0.238748985,5878,18742,0
2010,1119,Sumter,Alabama,0.766619014,4290,1306,0
2010,1121,Talladega,Alabama,0.449380553,10773,13200,0
2010,1123,Tallapoosa,Alabama,0.427329271,6733,9023,0
2010,1125,Tuscaloosa,Alabama,0.370657933,20146,34206,0
2010,1127,Walker,Alabama,0.386188803,8685,13804,0
2010,1129,Washington,Alabama,0.450321305,2733,3336,0
2010,1131,Wilcox,Alabama,0.745932694,3347,1140,0
2010,1133,Winston,Alabama,0.253219416,2045,6031,0
2010,4001,Apache,Arizona,0.6470944,12839,7002,818
2010,4003,Cochise,Arizona,0.358456638,13954,24974,1142
2010,4005,Coconino,Arizona,0.553774037,20792,16754,1398
2010,4007,Gila,Arizona,0.355410555,6155,11163,611
2010,4009,Graham,Arizona,0.323399932,2865,5994,294
2010,4011,Greenlee,Arizona,0.497884941,1177,1187,84
2010,4012,La Paz,Arizona,0.303791686,1330,3048,150
2010,4013,Maricopa,Arizona,0.433257809,415142,543045,32957
2010,4015,Mohave,Arizona,0.246645947,12777,39026,1912
2010,4017,Navajo,Arizona,0.436527865,12517,16157,972
2010,4019,Pima,Arizona,0.515331014,158337,148916,8336
2010,4021,Pinal,Arizona,0.39660941,30109,45807,2675
2010,4023,Santa Cruz,Arizona,0.674423352,6608,3190,243
2010,4025,Yavapai,Arizona,0.325098538,25569,53081,2738
2010,4027,Yuma,Arizona,0.412664148,13764,19590,882
2010,5001,Arkansas,Arkansas,0.772149303,3765,1111,57
2010,5003,Ashley,Arkansas,0.671090387,3742,1834,71
2010,5005,Baxter,Arkansas,0.556864894,8128,6468,311
2010,5007,Benton,Arkansas,0.529771576,27715,24600,879
2010,5009,Boone,Arkansas,0.612184147,8843,5602,502
2010,5011,Bradley,Arkansas,0.756643357,2164,696,27
2010,5013,Calhoun,Arkansas,0.718416091,1143,448,25
2010,5015,Carroll,Arkansas,0.642377518,5166,2876,267
2010,5017,Chicot,Arkansas,0.807524353,2404,573,30
